App,Category,Rating,Installs_Numeric,Reviews_Numeric,Price_Numeric
Hitman Sniper,GAME,4.6,10000000,408292,0.99
Minecraft,FAMILY,4.5,10000000,2376564,6.99
Grand Theft Auto: San Andreas,GAME,4.4,1000000,348962,6.99
Card Wars - Adventure Time,FAMILY,4.3,1000000,129603,2.99
HD Widgets,PERSONALIZATION,4.3,1000000,58617,0.99
Cut the Rope GOLD,FAMILY,4.6,1000000,61264,0.99
Beautiful Widgets Pro,PERSONALIZATION,4.2,1000000,97890,2.49
Facetune - For Free,PHOTOGRAPHY,4.4,1000000,49553,5.99
Infinity Dungeon VIP,FAMILY,4.3,1000000,21804,0.99
League of Stickman 2018- Ninja Arena PVP(Dreamsky),GAME,4.4,1000000,32496,0.99
